id,age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,previous,y
1,60,technician,married,secondary,no,358,no,no,cellular,95,1,failure,no
2,30,admin.,married,secondary,no,265,yes,no,cellular,342,1,,no
3,47,management,single,tertiary,no,,no,no,telephone,220,3,,yes
4,51,management,,tertiary,no,,yes,no,cellular,60,1,failure,no
5,30,admin.,,secondary,no,873,no,no,cellular,301,1,failure,no
6,41,services,married,secondary,no,1141,yes,no,cellular,75,1,failure,no
7,58,retired,married,primary,no,565,no,no,telephone,153,1,success,yes
8,38,management,married,tertiary,no,569,yes,no,cellular,105,2,failure,no
10,42,technician,single,secondary,no,-15,no,no,cellular,89,1,failure,no
8,38,management,married,tertiary,no,569,yes,no,cellular,105,2,failure,no
11,555,blue-collar,married,primary,no,5131,yes,no,cellular,348,1,,no
12,40,management,married,tertiary,no,3352,yes,no,cellular,9999,2,,yes
13,33,services,single,secondary,no,100,yes,no,cellular,11,8,,no
14,555,technician,divorced,secondary,no,1738,no,no,cellular,79,1,,no
15,51,admin.,divorced,tertiary,no,66,yes,no,cellular,8888,1,,no
16,51,housemaid,married,primary,no,605,no,no,cellular,91,2,,no
17,40,housemaid,married,secondary,no,4136,yes,no,cellular,508,3,,no
18,53,management,married,secondary,no,2693,no,no,cellular,90,1,,yes
19,50,technician,single,secondary,no,-97,yes,no,cellular,425,1,failure,no
20,32,services,married,secondary,no,3839,yes,no,cellular,100,2,failure,no
21,38,admin.,married,secondary,no,0,yes,no,cellular,210,1,success,yes
22,31,services,married,secondary,no,395,no,no,telephone,196,3,failure,no
23,32,blue-collar,married,secondary,no,822,yes,no,cellular,19,8,failure,no
24,41,blue-collar,married,secondary,no,926,yes,no,cellular,306,2,other,no
25,46,blue-collar,married,secondary,no,521,yes,no,cellular,246,1,failure,no
26,33,services,married,tertiary,no,546,yes,yes,cellular,54,2,failure,no
27,32,management,single,tertiary,no,499,yes,no,cellular,182,1,failure,no
28,34,management,married,tertiary,no,2374,yes,yes,cellular,270,2,failure,yes
29,60,blue-collar,married,primary,no,38,yes,no,cellular,109,11,other,no
30,45,technician,single,secondary,no,-55,no,no,cellular,78,3,failure,no
31,28,admin.,married,secondary,no,-393,yes,yes,cellular,247,2,failure,no
32,34,technician,married,secondary,no,4,yes,no,cellular,105,2,failure,no
33,31,management,single,tertiary,no,62,yes,no,cellular,175,1,failure,no
34,32,technician,single,secondary,no,6402,yes,no,cellular,158,1,success,no
35,39,self-employed,single,tertiary,no,917,yes,no,cellular,161,2,failure,no
36,59,management,divorced,tertiary,no,258,yes,no,cellular,33,1,success,no
37,43,blue-collar,married,primary,no,714,yes,no,cellular,16,6,failure,no
38,50,technician,married,tertiary,no,0,no,yes,cellular,337,1,failure,no
39,49,services,married,primary,no,0,yes,no,cellular,445,2,failure,yes
40,26,services,single,primary,no,-32,yes,no,cellular,486,2,other,no
41,59,retired,divorced,primary,no,47,yes,no,telephone,110,3,failure,no
42,36,technician,single,tertiary,no,470,yes,no,cellular,123,3,success,no
43,33,self-employed,single,tertiary,no,1354,yes,no,cellular,270,1,failure,no
44,72,retired,married,primary,no,3856,no,no,cellular,582,4,other,yes
45,27,services,married,secondary,no,199,no,no,cellular,108,2,failure,no
46,66,retired,married,tertiary,no,1948,no,no,cellular,106,2,failure,yes
47,30,unemployed,single,secondary,no,2424,no,no,cellular,110,1,failure,yes
48,48,services,single,secondary,yes,-470,yes,no,cellular,410,2,failure,no
49,33,student,single,tertiary,no,3404,yes,no,cellular,105,2,failure,no
50,41,management,divorced,tertiary,no,3426,no,no,cellular,102,2,failure,yes
51,31,management,divorced,tertiary,no,883,yes,no,cellular,112,2,failure,yes
52,39,entrepreneur,married,secondary,no,680,yes,no,cellular,135,1,failure,no
53,34,technician,married,secondary,no,260,yes,no,cellular,20,2,failure,no
54,26,technician,single,secondary,no,1105,yes,no,cellular,415,1,other,yes
55,31,services,divorced,primary,no,459,yes,no,cellular,623,1,success,yes
56,50,admin.,married,tertiary,no,6574,no,no,cellular,495,1,success,yes
57,82,housemaid,divorced,primary,no,1381,no,no,cellular,86,3,failure,no
58,26,technician,single,secondary,no,276,yes,no,cellular,106,1,failure,no
59,37,technician,divorced,secondary,no,5957,yes,no,cellular,64,3,failure,no
60,34,technician,divorced,secondary,no,0,yes,yes,cellular,110,3,other,no
61,27,blue-collar,divorced,secondary,no,0,yes,no,telephone,363,1,failure,no
62,26,technician,single,secondary,no,1873,no,no,cellular,1013,3,other,no
63,50,management,married,tertiary,no,4374,yes,no,cellular,163,2,failure,no
64,32,management,single,secondary,no,301,yes,no,cellular,383,3,failure,no
65,33,services,married,secondary,no,1076,no,no,cellular,88,1,failure,no
66,40,admin.,single,secondary,no,664,no,no,cellular,188,2,success,no
67,35,blue-collar,married,primary,no,455,yes,no,cellular,573,7,failure,no
68,42,technician,married,unknown,no,254,yes,no,cellular,241,1,failure,no
69,37,blue-collar,married,secondary,no,-100,yes,no,cellular,108,2,failure,no
70,34,admin.,married,secondary,no,2374,yes,no,cellular,161,1,failure,yes
71,31,management,single,tertiary,no,775,yes,no,cellular,207,1,failure,no
72,50,technician,married,secondary,no,-70,yes,yes,cellular,391,2,failure,no
73,36,management,married,tertiary,no,203,no,no,cellular,255,1,success,yes
74,60,technician,married,primary,no,4243,yes,no,cellular,387,1,failure,no
75,38,blue-collar,married,secondary,no,105,yes,no,cellular,158,1,failure,no
76,32,management,married,tertiary,no,2213,no,no,cellular,125,2,failure,no
77,49,admin.,divorced,secondary,no,132,yes,no,cellular,98,1,failure,no
78,33,housemaid,married,tertiary,no,10,yes,no,cellular,129,1,failure,no
79,52,management,married,tertiary,no,583,no,no,cellular,61,1,failure,no
80,35,blue-collar,married,secondary,no,305,yes,no,cellular,7,7,failure,no
81,37,management,married,tertiary,no,165,no,no,cellular,315,1,other,no
82,39,services,divorced,secondary,no,1957,yes,yes,cellular,350,1,failure,no
83,37,admin.,single,primary,no,91,yes,no,cellular,283,2,failure,no
84,36,management,married,tertiary,no,2957,yes,yes,cellular,193,2,success,no
85,36,blue-collar,married,secondary,no,1797,yes,yes,cellular,166,1,failure,no
86,67,retired,married,primary,no,2391,no,no,cellular,737,6,other,yes
87,34,technician,married,secondary,no,806,no,no,cellular,253,3,success,yes
88,34,admin.,married,secondary,no,79,yes,no,cellular,193,1,failure,no
89,40,blue-collar,married,primary,no,34,yes,no,cellular,350,2,failure,no
90,47,blue-collar,divorced,primary,no,409,yes,no,cellular,143,2,other,no
91,25,admin.,single,secondary,no,483,no,yes,cellular,68,1,success,no
92,31,housemaid,single,tertiary,no,2017,yes,no,cellular,167,1,failure,no
93,48,services,married,secondary,no,2597,yes,no,cellular,182,2,failure,no
94,44,admin.,single,secondary,no,1534,no,no,cellular,166,1,other,yes
95,41,blue-collar,married,primary,no,1461,yes,no,cellular,290,1,success,no
96,51,management,married,secondary,no,441,yes,no,cellular,189,2,other,no
97,30,unemployed,single,tertiary,no,1159,no,no,cellular,95,1,success,no
98,32,blue-collar,single,secondary,no,567,yes,no,cellular,275,2,other,no
99,40,technician,single,tertiary,no,1646,yes,no,cellular,173,1,success,yes
100,32,management,single,tertiary,no,2915,no,no,cellular,519,1,failure,yes
101,37,management,married,tertiary,no,59,yes,yes,telephone,319,1,failure,no
102,34,self-employed,married,tertiary,no,1545,yes,no,cellular,895,1,failure,no
103,46,management,married,tertiary,no,37378,yes,no,cellular,146,1,failure,no
104,38,technician,single,secondary,no,884,yes,yes,cellular,113,2,failure,no
105,43,blue-collar,single,secondary,no,1306,yes,no,cellular,243,1,failure,no
106,41,technician,single,tertiary,no,1646,yes,no,cellular,261,1,success,yes
107,27,student,single,secondary,no,3754,no,no,cellular,106,3,other,no
108,28,services,single,secondary,no,118,yes,yes,cellular,376,3,failure,no
109,19,student,single,secondary,no,424,no,no,cellular,121,3,other,no
110,46,services,married,secondary,no,1381,yes,no,cellular,115,3,failure,no
111,32,services,married,secondary,no,413,yes,no,telephone,67,1,failure,no
112,30,blue-collar,divorced,secondary,no,292,yes,no,cellular,381,1,other,no
113,36,entrepreneur,single,primary,no,5,no,no,cellular,396,1,failure,no
114,44,management,married,tertiary,no,1646,yes,no,cellular,292,6,failure,no
115,53,admin.,divorced,secondary,no,-163,yes,no,cellular,344,2,other,no
116,33,management,single,tertiary,no,1423,yes,no,cellular,633,3,other,no
117,37,technician,married,tertiary,no,341,no,no,cellular,287,3,success,yes
118,48,technician,married,secondary,no,3519,no,yes,cellular,229,1,failure,no
119,57,retired,married,secondary,no,415,no,no,cellular,408,1,failure,no
120,61,management,married,secondary,no,544,no,no,cellular,63,3,success,yes
121,31,blue-collar,married,secondary,no,505,yes,no,cellular,218,4,other,no
122,44,technician,married,secondary,no,2626,yes,no,cellular,170,2,failure,no
123,33,technician,married,secondary,no,359,yes,no,cellular,210,1,other,no
124,33,management,married,tertiary,no,1522,yes,no,cellular,171,2,failure,no
125,37,admin.,single,tertiary,no,3954,yes,no,cellular,238,1,failure,no
126,31,technician,single,secondary,no,863,yes,no,cellular,166,3,failure,no
127,40,management,single,tertiary,no,-222,yes,no,cellular,291,1,failure,no
128,26,admin.,single,secondary,no,125,no,no,cellular,92,1,other,no
129,36,technician,single,tertiary,no,0,yes,no,cellular,155,2,other,no
130,34,entrepreneur,single,tertiary,no,714,yes,no,cellular,122,3,failure,no
131,37,management,married,tertiary,no,2283,no,no,cellular,303,2,success,yes
132,53,admin.,single,primary,no,0,yes,no,cellular,176,1,other,no
133,49,retired,divorced,secondary,no,-268,yes,no,cellular,42,2,failure,no
134,32,admin.,single,tertiary,no,1583,yes,no,cellular,100,1,failure,no
135,42,blue-collar,married,primary,no,201,yes,no,cellular,265,1,success,yes
136,43,management,divorced,tertiary,no,2367,no,no,cellular,114,1,other,yes
137,24,student,single,secondary,no,4126,no,no,cellular,83,5,success,no
138,32,management,married,tertiary,no,3107,yes,yes,cellular,165,2,failure,no
139,38,entrepreneur,married,secondary,no,157,no,yes,cellular,57,11,other,no
140,24,student,single,secondary,no,1123,no,no,cellular,475,1,other,yes
141,34,student,single,tertiary,no,3404,yes,no,cellular,420,1,failure,no
142,45,entrepreneur,married,primary,no,58,yes,no,telephone,119,3,failure,no
143,36,blue-collar,single,tertiary,no,1830,no,no,cellular,185,5,failure,no
144,43,management,married,tertiary,no,228,yes,no,cellular,55,1,failure,no
145,52,management,married,secondary,no,335,no,no,cellular,411,1,failure,yes
146,39,management,married,secondary,no,6012,no,no,telephone,140,1,failure,no
147,26,technician,single,tertiary,no,43,yes,yes,cellular,169,3,failure,no
148,33,unemployed,divorced,secondary,no,1005,yes,no,telephone,175,1,failure,no
149,32,technician,married,secondary,no,484,yes,no,cellular,668,2,success,yes
150,56,blue-collar,single,primary,no,39,yes,no,telephone,191,2,failure,no
151,48,technician,married,secondary,no,1981,yes,no,cellular,291,3,success,no
152,47,technician,married,tertiary,no,2408,no,no,cellular,236,1,success,no
153,46,blue-collar,married,unknown,no,336,yes,no,cellular,260,3,other,yes
154,39,services,married,secondary,no,1970,yes,no,unknown,30,1,success,no
155,21,student,single,secondary,no,210,no,no,telephone,123,2,failure,no
156,38,admin.,married,secondary,no,505,yes,yes,cellular,119,1,failure,no
157,39,unemployed,married,primary,no,1147,yes,yes,cellular,232,2,failure,no
158,58,retired,married,secondary,no,2714,no,no,cellular,165,1,failure,yes
159,41,admin.,single,secondary,no,3895,yes,no,cellular,305,3,other,no
160,28,student,single,tertiary,no,3,no,no,cellular,135,2,other,no
161,53,management,married,tertiary,no,1356,yes,no,cellular,371,2,failure,no
162,31,admin.,single,secondary,no,1270,yes,no,cellular,291,1,other,no
163,48,technician,divorced,secondary,no,-63,no,yes,unknown,7,1,other,no
164,43,blue-collar,married,primary,no,0,yes,no,cellular,48,3,failure,no
165,39,entrepreneur,divorced,tertiary,no,208,yes,no,cellular,81,1,failure,no
166,25,services,single,secondary,no,-371,yes,no,cellular,147,2,other,no
167,43,management,married,tertiary,no,1993,no,no,cellular,37,1,failure,no
168,43,self-employed,married,tertiary,no,3157,no,no,cellular,381,2,other,no
169,76,housemaid,divorced,primary,no,1411,no,no,telephone,233,2,success,yes
170,57,management,divorced,unknown,no,2986,no,no,cellular,222,2,failure,yes
171,35,services,married,secondary,no,302,yes,no,cellular,137,1,failure,no
172,38,blue-collar,married,secondary,no,194,yes,no,cellular,576,4,failure,no
173,26,unemployed,single,secondary,no,771,no,no,cellular,113,1,failure,no
174,45,admin.,married,tertiary,no,2552,no,no,cellular,69,1,failure,yes
175,46,management,married,tertiary,no,273,yes,no,cellular,583,6,success,yes
176,37,admin.,married,tertiary,no,29,no,no,cellular,404,2,other,yes
177,26,admin.,single,secondary,no,0,yes,no,cellular,339,1,other,no
178,34,services,married,secondary,no,703,no,no,cellular,282,2,failure,no
179,44,blue-collar,divorced,primary,no,25,yes,no,cellular,201,1,failure,no
