Make,DriveTrain,EngineSize,Cylinders,Horsepower,MPG,Weight,Wheelbase,Length
Acura,All,3.5,6,265,17,4451,106,189
Acura,Front,2,4,200,24,2778,101,172
Acura,Front,2.4,4,200,22,3230,105,183
Acura,Front,3.2,6,270,20,3575,108,186
Acura,Front,3.5,6,225,18,3880,115,197
Acura,Front,3.5,6,225,18,3893,115,197
Acura,Rear,3.2,6,290,17,3153,100,174
Audi,Front,1.8,4,170,22,3252,104,179
Audi,Front,1.8,4,170,23,3638,105,180
Audi,Front,3,6,220,20,3462,104,179
Audi,All,3,6,220,17,3583,104,179
Audi,All,3,6,220,18,3627,104,179
Audi,Front,3,6,220,20,3561,109,192
Audi,All,3,6,220,18,3880,109,192
Audi,Front,3,6,220,20,3814,105,180
Audi,All,3,6,220,18,4013,105,180
Audi,All,2.7,6,250,18,3836,109,192
Audi,All,4.2,8,300,17,4024,109,193
Audi,All,4.2,8,330,17,4399,121,204
Audi,All,4.2,8,340,14,3825,104,179
Audi,Front,4.2,8,450,15,4024,109,191
Audi,Front,1.8,4,180,20,3131,95,159
Audi,All,1.8,4,225,20,2921,96,159
Audi,All,3.2,6,250,21,3351,96,159
Audi,All,3,6,220,18,4035,109,192
Audi,All,4.2,8,340,15,3936,104,179
BMW,All,3,6,225,16,4023,110,180
BMW,All,4.4,8,325,16,4824,111,184
BMW,Rear,2.5,6,184,20,3219,107,176
BMW,Rear,2.5,6,184,20,3197,107,177
BMW,Rear,2.5,6,184,19,3560,107,177
BMW,All,2.5,6,184,19,3461,107,176
BMW,Rear,3,6,225,20,3285,107,176
BMW,Rear,3,6,225,20,3285,107,176
BMW,All,3,6,225,20,3483,107,176
BMW,Rear,2.5,6,184,19,3428,114,191
BMW,Rear,3,6,225,19,3616,107,177
BMW,Rear,3,6,225,20,3472,114,191
BMW,Rear,4.4,8,325,18,3814,114,191
BMW,Rear,4.4,8,325,18,4376,118,198
BMW,Rear,4.4,8,325,18,4464,123,204
BMW,Rear,3.2,6,333,16,3415,108,177
BMW,Rear,3.2,6,333,16,3781,108,177
BMW,Rear,2.5,6,184,20,2932,98,161
BMW,Rear,3,6,225,21,2998,98,161
BMW,All,2.5,6,184,19,3594,107,176
Buick,All,4.2,6,275,15,4600,113,193
Buick,Front,3.4,6,185,19,4024,112,187
Buick,Front,3.1,6,175,20,3353,109,195
Buick,Front,3.8,6,205,20,3567,112,200
Buick,Front,3.8,6,200,20,3461,109,196
Buick,Front,3.8,6,240,18,3536,109,196
Buick,Front,3.8,6,205,20,3591,112,200
Buick,Front,3.8,6,205,20,3778,114,207
Buick,Front,3.8,6,240,18,3909,114,207
Cadillac,Front,5.3,8,295,14,5367,116,199
Cadillac,Front,4.6,8,320,16,4302,116,195
Cadillac,Rear,3.6,6,255,18,3694,113,190
Cadillac,Front,4.6,8,275,18,3984,115,207
Cadillac,Front,4.6,8,300,18,4044,115,207
Cadillac,Front,4.6,8,275,18,3992,112,201
Cadillac,Rear,4.6,8,320,17,3647,106,178
Cadillac,All,6,8,345,13,5879,130,221
Chevrolet,Front,5.3,8,295,14,4947,130,219
Chevrolet,All,5.3,8,295,14,5050,116,197
Chevrolet,Front,4.2,6,275,16,4425,113,192
Chevrolet,Front,2.5,6,165,19,2866,98,163
Chevrolet,Front,1.6,4,103,28,2370,98,167
Chevrolet,Front,1.6,4,103,28,2348,98,153
Chevrolet,Front,2.2,4,140,26,2617,104,183
Chevrolet,Front,2.2,4,140,26,2676,104,183
Chevrolet,Front,2.2,4,140,26,2617,104,183
Chevrolet,Front,3.4,6,180,21,3465,111,200
Chevrolet,Front,2.2,4,145,24,3174,106,188
Chevrolet,Front,3.5,6,200,22,3297,106,188
Chevrolet,Front,3.4,6,180,21,3340,111,198
Chevrolet,Front,3.8,6,200,20,3476,111,200
